"","word","absolute.frequency","relative.frequency"
"406","joy",29,0.0162464985994398
"407","interest",28,0.0156862745098039
"408","wind",28,0.0156862745098039
"409","demand",28,0.0156862745098039
"410","tongu",28,0.0156862745098039
"411","sudden",28,0.0156862745098039
"412","subject",28,0.0156862745098039
"413","begin",28,0.0156862745098039
"414","seiz",28,0.0156862745098039
"415","behind",28,0.0156862745098039
"416","readi",28,0.0156862745098039
"417","sound",28,0.0156862745098039
"418","letter",28,0.0156862745098039
"419","presenc",28,0.0156862745098039
"420","silent",28,0.0156862745098039
"421","late",28,0.0156862745098039
"422","gather",28,0.0156862745098039
"423","recov",28,0.0156862745098039
"424","stir",27,0.0151260504201681
"425","white",27,0.0151260504201681
"426","fast",27,0.0151260504201681
"427","meet",27,0.0151260504201681
"428","hearth",27,0.0151260504201681
"429","thank",27,0.0151260504201681
"430","afternoon",27,0.0151260504201681
"431","delight",27,0.0151260504201681
"432","wife",27,0.0151260504201681
"433","dream",27,0.0151260504201681
"434","mention",27,0.0151260504201681
"435","cross",27,0.0151260504201681
"436","sorri",27,0.0151260504201681
"437","compel",27,0.0151260504201681
"438","sick",27,0.0151260504201681
"439","instant",27,0.0151260504201681
"440","affect",27,0.0151260504201681
"441","affirm",27,0.0151260504201681
"442","angri",27,0.0151260504201681
"443","ground",27,0.0151260504201681
"444","wrong",27,0.0151260504201681
"445","grave",27,0.0151260504201681
"446","drop",27,0.0151260504201681
"447","your",27,0.0151260504201681
"448","heaven",26,0.0145658263305322
"449","thrushcross",26,0.0145658263305322
"450","corner",26,0.0145658263305322
"451","knee",26,0.0145658263305322
"452","proceed",26,0.0145658263305322
"453","purpos",26,0.0145658263305322
"454","endur",26,0.0145658263305322
"455","escap",26,0.0145658263305322
"456","knock",26,0.0145658263305322
"457","maister",26,0.0145658263305322
"458","shoulder",26,0.0145658263305322
"459","length",26,0.0145658263305322
"460","laid",26,0.0145658263305322
"461","obey",26,0.0145658263305322
"462","longer",26,0.0145658263305322
"463","eat",26,0.0145658263305322
"464","bitter",26,0.0145658263305322
"465","carri",26,0.0145658263305322
"466","hurri",26,0.0145658263305322
"467","content",26,0.0145658263305322
"468","sent",26,0.0145658263305322
"469","youv",26,0.0145658263305322
"470","sweet",26,0.0145658263305322
"471","new",25,0.0140056022408964
"472","possibl",25,0.0140056022408964
