"","word","JE.freq","JE.prop","WH.freq","WH.prop","dProp","dAbs"
"1268","supper",18,0.00739523418241578,12,0.00672268907563025,0.000672545106785524,0.000672545106785524
"1269","absorb",12,0.00493015612161052,10,0.00560224089635854,-0.000672084774748026,0.000672084774748026
"1270","curios",12,0.00493015612161052,10,0.00560224089635854,-0.000672084774748026,0.000672084774748026
"1271","exchang",12,0.00493015612161052,10,0.00560224089635854,-0.000672084774748026,0.000672084774748026
"1272","fever",12,0.00493015612161052,10,0.00560224089635854,-0.000672084774748026,0.000672084774748026
"1273","grown",12,0.00493015612161052,10,0.00560224089635854,-0.000672084774748026,0.000672084774748026
"1274","assur",22,0.00903861955628595,15,0.00840336134453781,0.000635258211748134,0.000635258211748134
"1275","abod",8,0.00328677074774034,7,0.00392156862745098,-0.000634797879710635,0.000634797879710635
"1276","embarrass",8,0.00328677074774034,7,0.00392156862745098,-0.000634797879710635,0.000634797879710635
"1277","heav",8,0.00328677074774034,7,0.00392156862745098,-0.000634797879710635,0.000634797879710635
"1278","march",8,0.00328677074774034,7,0.00392156862745098,-0.000634797879710635,0.000634797879710635
"1279","offend",8,0.00328677074774034,7,0.00392156862745098,-0.000634797879710635,0.000634797879710635
"1280","throat",8,0.00328677074774034,7,0.00392156862745098,-0.000634797879710635,0.000634797879710635
"1281","hasten",23,0.00944946589975349,18,0.0100840336134454,-0.000634567713691886,0.000634567713691886
"1282","intent",23,0.00944946589975349,18,0.0100840336134454,-0.000634567713691886,0.000634567713691886
"1283","red",23,0.00944946589975349,18,0.0100840336134454,-0.000634567713691886,0.000634567713691886
"1284","neither",56,0.0230073952341824,40,0.0224089635854342,0.000598431648748243,0.000598431648748243
"1285","secur",26,0.0106820049301561,18,0.0100840336134454,0.000597971316710744,0.000597971316710744
"1286","build",11,0.00451930977814297,7,0.00392156862745098,0.000597741150691994,0.000597741150691994
"1287","perus",11,0.00451930977814297,7,0.00392156862745098,0.000597741150691994,0.000597741150691994
"1288","risk",11,0.00451930977814297,7,0.00392156862745098,0.000597741150691994,0.000597741150691994
"1289","sooth",11,0.00451930977814297,7,0.00392156862745098,0.000597741150691994,0.000597741150691994
"1290","storm",11,0.00451930977814297,7,0.00392156862745098,0.000597741150691994,0.000597741150691994
"1291","volum",11,0.00451930977814297,7,0.00392156862745098,0.000597741150691994,0.000597741150691994
"1292","wax",11,0.00451930977814297,7,0.00392156862745098,0.000597741150691994,0.000597741150691994
"1293","asleep",19,0.00780608052588332,15,0.00840336134453781,-0.000597280818654495,0.000597280818654495
"1294","intim",19,0.00780608052588332,15,0.00840336134453781,-0.000597280818654495,0.000597280818654495
"1295","land",19,0.00780608052588332,15,0.00840336134453781,-0.000597280818654495,0.000597280818654495
"1296","carri",34,0.0139687756778965,26,0.0145658263305322,-0.000597050652635746,0.000597050652635746
